data,hora,n_placar_visitante,n_placar_casa,c_nome_estadio,c_time_casa,c_time_visitante,n_rodada,d_ano_campeonato,c_nome_campeonato
2014-05-22,19:32,0,1,Estádio Doutor Adhemar de Barros,Palmeiras,Figueirense,6,2014,Brasileirão 2014
2014-05-22,21:03,3,2,Estádio Alberto Oliveira,Vitoria,Atletico-MG,6,2014,Brasileirão 2014
2014-05-24,18:33,1,0,Arena Barueri,Bahia,Fluminense,7,2014,Brasileirão 2014
2014-05-24,20:59,0,1,Morumbi,Sao Paulo,Gremio,7,2014,Brasileirão 2014
2014-05-25,16:00,4,1,Adelmar da Costa Carvalho,Sport,Corinthians,7,2014,Brasileirão 2014
2014-05-25,16:01,0,2,Estádio Willie Davids,Athletico-PR,Coritiba,7,2014,Brasileirão 2014
2014-05-25,16:03,1,0,Orlando Scarpelli,Figueirense,Goias,7,2014,Brasileirão 2014
2014-05-25,16:04,0,0,Morumbi,Santos,Flamengo,7,2014,Brasileirão 2014
2014-05-25,18:30,3,1,Estádio Francisco Stédile (Centenário),Internacional,Cruzeiro,7,2014,Brasileirão 2014
2014-05-25,18:32,1,1,Moacyrzão,Botafogo-RJ,Vitoria,7,2014,Brasileirão 2014
2014-05-25,18:34,0,2,Arena Condá,Chapecoense,Palmeiras,7,2014,Brasileirão 2014
2014-05-25,18:35,0,0,Estádio Ipatingão,Atletico-MG,Criciuma,7,2014,Brasileirão 2014
2014-05-28,19:28,0,0,Adelmar da Costa Carvalho,Sport,Gremio,8,2014,Brasileirão 2014
2014-05-28,19:32,0,1,Estádio Heriberto Hülse,Criciuma,Coritiba,8,2014,Brasileirão 2014
2014-05-28,19:33,2,0,Estádio Paulo Constantino,Palmeiras,Botafogo-RJ,8,2014,Brasileirão 2014
2014-05-28,20:56,0,2,Estádio Francisco Stédile (Centenário),Internacional,Chapecoense,8,2014,Brasileirão 2014
2014-05-28,21:02,0,0,Estádio do Governo do Estado de Goiás (Serra Dourada),Goias,Vitoria,8,2014,Brasileirão 2014
2014-05-28,21:59,0,1,Estádio Dr. Oswaldo Teixeira Duarte,Corinthians,Cruzeiro,8,2014,Brasileirão 2014
2014-05-28,22:01,0,2,Estádio Ipatingão,Atletico-MG,Fluminense,8,2014,Brasileirão 2014
2014-05-28,22:02,2,2,Estádio Municipal Parque do Sabiá,Athletico-PR,Sao Paulo,8,2014,Brasileirão 2014
2014-05-29,19:29,1,1,Morumbi,Flamengo,Figueirense,8,2014,Brasileirão 2014
2014-05-29,21:02,2,0,Estádio Alberto Oliveira,Bahia,Santos,8,2014,Brasileirão 2014
2014-05-31,18:29,0,3,Vila Capanema,Coritiba,Goias,9,2014,Brasileirão 2014
2014-05-31,18:32,1,2,Morumbi,Sao Paulo,Atletico-MG,9,2014,Brasileirão 2014
2014-05-31,21:03,1,0,Estádio Alberto Oliveira,Vitoria,Sport,9,2014,Brasileirão 2014
2014-06-01,15:58,0,0,Alfredo Jaconi,Gremio,Palmeiras,9,2014,Brasileirão 2014
2014-06-01,16:01,1,2,Arena Condá,Chapecoense,Bahia,9,2014,Brasileirão 2014
2014-06-01,16:01,0,3,Estádio Municipal Parque do Sabiá,Cruzeiro,Flamengo,9,2014,Brasileirão 2014
2014-06-01,18:29,0,2,Primeiro de Maio São Bernardo do Campo,Santos,Criciuma,9,2014,Brasileirão 2014
2014-06-01,18:30,1,1,Moacyrzão,Fluminense,Internacional,9,2014,Brasileirão 2014
2014-06-01,18:30,3,1,Orlando Scarpelli,Figueirense,Athletico-PR,9,2014,Brasileirão 2014
2014-06-01,16:03,1,1,Neo Química Arena,Corinthians,Botafogo-RJ,28,2014,Brasileirão 2014
2014-06-04,21:00,0,1,Adelmar da Costa Carvalho,Sport,Bahia,5,2014,Brasileirão 2014
2014-07-16,19:29,0,0,Arena do Grêmio,Gremio,Goias,10,2014,Brasileirão 2014
2014-07-16,19:31,0,1,Adelmar da Costa Carvalho,Sport,Botafogo-RJ,10,2014,Brasileirão 2014
2014-07-16,19:34,2,0,Couto Pereira,Coritiba,Figueirense,10,2014,Brasileirão 2014
2014-07-16,21:59,2,1,Moacyrzão,Flamengo,Athletico-PR,10,2014,Brasileirão 2014
2014-07-16,22:00,2,0,Itaipava Arena Fonte Nova,Bahia,Sao Paulo,10,2014,Brasileirão 2014
2014-07-16,22:03,2,3,Estádio Heriberto Hülse,Criciuma,Fluminense,10,2014,Brasileirão 2014
2014-07-17,19:32,0,2,Estádio Urbano Caldeira,Santos,Palmeiras,10,2014,Brasileirão 2014
2014-07-17,19:37,1,2,Neo Química Arena,Corinthians,Internacional,10,2014,Brasileirão 2014
2014-07-17,20:59,1,3,Mineirão,Cruzeiro,Vitoria,10,2014,Brasileirão 2014
2014-07-19,18:30,1,0,Morumbi,Sao Paulo,Chapecoense,11,2014,Brasileirão 2014
2014-07-19,18:30,1,0,Orlando Scarpelli,Figueirense,Gremio,11,2014,Brasileirão 2014
2014-07-19,18:32,1,1,Estádio Raimundo Sampaio,Atletico-MG,Bahia,11,2014,Brasileirão 2014
2014-07-19,21:00,0,1,Estádio Municipal General Raulino de Oliveira,Botafogo-RJ,Coritiba,11,2014,Brasileirão 2014
2014-07-20,16:02,2,1,Estádio Municipal Paulo Machado de Carvalho,Palmeiras,Cruzeiro,11,2014,Brasileirão 2014
2014-07-20,16:04,0,4,Estádio José Pinheiro Borda,Internacional,Flamengo,11,2014,Brasileirão 2014
2014-07-20,16:04,0,0,Barradão,Vitoria,Corinthians,11,2014,Brasileirão 2014
2014-07-20,18:30,0,2,Estádio Joaquim Américo Guimarães,Athletico-PR,Criciuma,11,2014,Brasileirão 2014
2014-07-20,18:31,0,0,Estádio do Governo do Estado de Goiás (Serra Dourada),Goias,Sport,11,2014,Brasileirão 2014
2014-07-20,18:32,0,1,Estádio Municipal General Raulino de Oliveira,Fluminense,Santos,11,2014,Brasileirão 2014
2014-07-26,18:28,0,5,Mineirão,Cruzeiro,Figueirense,12,2014,Brasileirão 2014
2014-07-26,18:32,0,3,Estádio Urbano Caldeira,Santos,Chapecoense,12,2014,Brasileirão 2014
2014-07-26,18:34,3,1,Estádio Heriberto Hülse,Criciuma,Vitoria,12,2014,Brasileirão 2014
2014-07-26,21:01,1,0,Itaipava Arena Fonte Nova,Bahia,Internacional,12,2014,Brasileirão 2014
2014-07-27,15:58,1,2,Adelmar da Costa Carvalho,Sport,Atletico-MG,12,2014,Brasileirão 2014
2014-07-27,15:59,1,2,Estádio do Governo do Estado de Goiás (Serra Dourada),Goias,Sao Paulo,12,2014,Brasileirão 2014
2014-07-27,15:59,0,2,Neo Química Arena,Corinthians,Palmeiras,12,2014,Brasileirão 2014
2014-07-27,16:02,3,0,Estádio Joaquim Américo Guimarães,Athletico-PR,Fluminense,12,2014,Brasileirão 2014
2014-07-27,18:28,3,2,Arena do Grêmio,Gremio,Coritiba,12,2014,Brasileirão 2014
2014-07-27,18:30,0,1,Maracanã,Flamengo,Botafogo-RJ,12,2014,Brasileirão 2014
2014-08-02,18:29,1,1,Maracanã,Botafogo-RJ,Cruzeiro,13,2014,Brasileirão 2014
2014-08-02,18:30,1,1,Morumbi,Sao Paulo,Criciuma,13,2014,Brasileirão 2014
2014-08-02,21:00,1,2,Barradão,Vitoria,Gremio,13,2014,Brasileirão 2014
2014-08-03,16:00,1,1,Estádio Municipal Paulo Machado de Carvalho,Palmeiras,Bahia,13,2014,Brasileirão 2014
2014-08-03,16:00,0,1,Arena Condá,Chapecoense,Flamengo,13,2014,Brasileirão 2014
2014-08-03,16:00,0,3,Orlando Scarpelli,Figueirense,Sport,13,2014,Brasileirão 2014
2014-08-03,16:01,0,0,Couto Pereira,Coritiba,Corinthians,13,2014,Brasileirão 2014
2014-08-03,18:27,0,2,Maracanã,Fluminense,Goias,13,2014,Brasileirão 2014
2014-08-03,18:29,0,1,Estádio José Pinheiro Borda,Internacional,Santos,13,2014,Brasileirão 2014
2014-08-03,18:29,1,3,Estádio Raimundo Sampaio,Atletico-MG,Athletico-PR,13,2014,Brasileirão 2014
2014-08-06,20:59,1,1,Arena Condá,Chapecoense,Atletico-MG,10,2014,Brasileirão 2014
2014-08-09,18:31,0,0,Estádio Heriberto Hülse,Criciuma,Cruzeiro,14,2014,Brasileirão 2014
2014-08-09,18:32,0,1,Itaipava Arena Fonte Nova,Bahia,Goias,14,2014,Brasileirão 2014
2014-08-09,20:58,1,1,Maracanã,Fluminense,Coritiba,14,2014,Brasileirão 2014
2014-08-10,16:00,0,1,Maracanã,Flamengo,Sport,14,2014,Brasileirão 2014
2014-08-10,16:00,0,2,Estádio Joaquim Américo Guimarães,Athletico-PR,Botafogo-RJ,14,2014,Brasileirão 2014
2014-08-10,16:02,1,0,Estádio Urbano Caldeira,Santos,Corinthians,14,2014,Brasileirão 2014
2014-08-10,16:02,0,2,Estádio José Pinheiro Borda,Internacional,Gremio,14,2014,Brasileirão 2014
2014-08-10,18:28,1,2,Estádio Raimundo Sampaio,Atletico-MG,Palmeiras,14,2014,Brasileirão 2014
2014-08-10,18:29,1,0,Arena Condá,Chapecoense,Figueirense,14,2014,Brasileirão 2014
2014-08-10,18:30,1,3,Morumbi,Sao Paulo,Vitoria,14,2014,Brasileirão 2014
2014-08-16,18:30,1,0,Estádio do Governo do Estado de Goiás (Serra Dourada),Goias,Internacional,15,2014,Brasileirão 2014
2014-08-16,20:58,1,1,Neo Química Arena,Corinthians,Bahia,15,2014,Brasileirão 2014
2014-08-17,15:58,0,2,Arena do Grêmio,Gremio,Criciuma,15,2014,Brasileirão 2014
2014-08-17,15:59,1,0,Couto Pereira,Coritiba,Flamengo,15,2014,Brasileirão 2014
2014-08-17,16:00,0,3,Mineirão,Cruzeiro,Santos,15,2014,Brasileirão 2014
2014-08-17,16:01,2,1,Estádio Municipal Paulo Machado de Carvalho,Palmeiras,Sao Paulo,15,2014,Brasileirão 2014
2014-08-17,16:02,0,0,Barradão,Vitoria,Chapecoense,15,2014,Brasileirão 2014
2014-08-17,18:30,0,2,Estádio Nacional de Brasília,Botafogo-RJ,Fluminense,15,2014,Brasileirão 2014
2014-08-17,18:31,2,2,Orlando Scarpelli,Figueirense,Atletico-MG,15,2014,Brasileirão 2014
2014-08-17,18:32,1,1,Adelmar da Costa Carvalho,Sport,Athletico-PR,15,2014,Brasileirão 2014
2014-08-20,19:27,1,2,Arena de Pernambuco,Sport,Palmeiras,16,2014,Brasileirão 2014
2014-08-20,19:30,0,1,Orlando Scarpelli,Figueirense,Botafogo-RJ,16,2014,Brasileirão 2014
2014-08-20,19:30,0,2,Estádio Urbano Caldeira,Santos,Athletico-PR,16,2014,Brasileirão 2014
2014-08-20,20:58,0,2,Couto Pereira,Coritiba,Vitoria,16,2014,Brasileirão 2014
2014-08-20,20:58,0,0,Itaipava Arena Fonte Nova,Bahia,Criciuma,16,2014,Brasileirão 2014
2014-08-20,21:59,0,1,Arena Condá,Chapecoense,Fluminense,16,2014,Brasileirão 2014
2014-08-20,22:00,1,2,Maracanã,Flamengo,Atletico-MG,16,2014,Brasileirão 2014
2014-08-20,22:00,1,0,Estádio José Pinheiro Borda,Internacional,Sao Paulo,16,2014,Brasileirão 2014
2014-08-21,19:30,2,5,Neo Química Arena,Corinthians,Goias,16,2014,Brasileirão 2014
2014-08-21,20:27,0,1,Mineirão,Cruzeiro,Gremio,16,2014,Brasileirão 2014
2014-08-23,18:29,0,1,Estádio Raimundo Sampaio,Atletico-MG,Internacional,17,2014,Brasileirão 2014
2014-08-23,18:29,0,1,Maracanã,Botafogo-RJ,Chapecoense,17,2014,Brasileirão 2014
2014-08-23,21:01,0,1,Estádio Municipal Paulo Machado de Carvalho,Palmeiras,Coritiba,17,2014,Brasileirão 2014
2014-08-24,15:58,1,2,Arena do Grêmio,Gremio,Corinthians,17,2014,Brasileirão 2014
2014-08-24,16:00,2,0,Estádio Heriberto Hülse,Criciuma,Flamengo,17,2014,Brasileirão 2014
2014-08-24,16:00,1,0,Barradão,Vitoria,Figueirense,17,2014,Brasileirão 2014
2014-08-24,16:00,1,2,Morumbi,Sao Paulo,Santos,17,2014,Brasileirão 2014
2014-08-24,16:00,0,4,Maracanã,Fluminense,Sport,17,2014,Brasileirão 2014
2014-08-24,18:29,0,0,Estádio Joaquim Américo Guimarães,Athletico-PR,Bahia,17,2014,Brasileirão 2014
2014-08-24,18:30,1,0,Estádio do Governo do Estado de Goiás (Serra Dourada),Goias,Cruzeiro,17,2014,Brasileirão 2014
2014-08-30,18:27,2,4,Mineirão,Cruzeiro,Chapecoense,18,2014,Brasileirão 2014
2014-08-30,18:32,1,0,Estádio Municipal Paulo Machado de Carvalho,Palmeiras,Internacional,18,2014,Brasileirão 2014
2014-08-31,15:59,0,2,Adelmar da Costa Carvalho,Sport,Criciuma,18,2014,Brasileirão 2014
2014-08-31,16:00,0,0,Couto Pereira,Coritiba,Atletico-MG,18,2014,Brasileirão 2014
2014-08-31,16:01,0,1,Maracanã,Botafogo-RJ,Santos,18,2014,Brasileirão 2014
2014-08-31,16:02,1,1,Neo Química Arena,Corinthians,Fluminense,18,2014,Brasileirão 2014
2014-08-31,16:02,1,1,Orlando Scarpelli,Figueirense,Sao Paulo,18,2014,Brasileirão 2014
2014-08-31,18:29,0,1,Arena do Grêmio,Gremio,Bahia,18,2014,Brasileirão 2014
2014-08-31,18:30,1,3,Estádio do Governo do Estado de Goiás (Serra Dourada),Goias,Athletico-PR,18,2014,Brasileirão 2014
2014-08-31,18:31,2,1,Barradão,Vitoria,Flamengo,18,2014,Brasileirão 2014
2014-09-06,18:29,1,0,Maracanã,Flamengo,Gremio,19,2014,Brasileirão 2014
2014-09-06,18:33,1,3,Estádio Municipal Paulo Machado de Carvalho,Santos,Vitoria,19,2014,Brasileirão 2014
2014-09-06,21:00,0,0,Arena Condá,Chapecoense,Goias,19,2014,Brasileirão 2014
2014-09-07,15:59,0,0,Estádio Heriberto Hülse,Criciuma,Corinthians,19,2014,Brasileirão 2014
2014-09-07,15:59,0,1,Estádio Raimundo Sampaio,Atletico-MG,Botafogo-RJ,19,2014,Brasileirão 2014
2014-09-07,16:00,0,2,Morumbi,Sao Paulo,Sport,19,2014,Brasileirão 2014
2014-09-07,16:00,3,3,Maracanã,Fluminense,Cruzeiro,19,2014,Brasileirão 2014
2014-09-07,18:28,0,0,Itaipava Arena Fonte Nova,Bahia,Coritiba,19,2014,Brasileirão 2014
2014-09-07,18:30,1,1,Estádio Joaquim Américo Guimarães,Athletico-PR,Palmeiras,19,2014,Brasileirão 2014
2014-09-07,18:30,3,2,Estádio José Pinheiro Borda,Internacional,Figueirense,19,2014,Brasileirão 2014
2014-09-10,19:29,0,1,Arena do Grêmio,Gremio,Athletico-PR,20,2014,Brasileirão 2014
2014-09-10,19:30,0,1,Estádio Municipal Paulo Machado de Carvalho,Palmeiras,Criciuma,20,2014,Brasileirão 2014
2014-09-10,19:30,1,1,Orlando Scarpelli,Figueirense,Fluminense,20,2014,Brasileirão 2014
2014-09-10,21:00,1,3,Arena de Pernambuco,Sport,Santos,20,2014,Brasileirão 2014
2014-09-10,21:02,0,3,Couto Pereira,Coritiba,Chapecoense,20,2014,Brasileirão 2014
2014-09-10,22:00,0,1,Arena Pantanal,Goias,Flamengo,20,2014,Brasileirão 2014
2014-09-10,22:00,4,2,Estádio Nacional de Brasília,Botafogo-RJ,Sao Paulo,20,2014,Brasileirão 2014
2014-09-10,22:00,0,2,Barradão,Vitoria,Internacional,20,2014,Brasileirão 2014
2014-09-11,19:32,0,1,Neo Química Arena,Corinthians,Atletico-MG,20,2014,Brasileirão 2014
2014-09-11,20:30,1,2,Mineirão,Cruzeiro,Bahia,20,2014,Brasileirão 2014
2014-09-13,18:30,0,3,Maracanã,Fluminense,Palmeiras,21,2014,Brasileirão 2014
2014-09-13,18:30,1,3,Arena Condá,Chapecoense,Sport,21,2014,Brasileirão 2014
2014-09-13,20:59,1,2,Estádio Urbano Caldeira,Santos,Coritiba,21,2014,Brasileirão 2014
2014-09-14,15:59,0,3,Estádio Alberto Oliveira,Bahia,Figueirense,21,2014,Brasileirão 2014
2014-09-14,15:59,0,1,Maracanã,Flamengo,Corinthians,21,2014,Brasileirão 2014
2014-09-14,16:00,0,2,Estádio José Pinheiro Borda,Internacional,Botafogo-RJ,21,2014,Brasileirão 2014
2014-09-14,16:02,0,2,Morumbi,Sao Paulo,Cruzeiro,21,2014,Brasileirão 2014
2014-09-14,18:29,0,2,Estádio Joaquim Américo Guimarães,Athletico-PR,Vitoria,21,2014,Brasileirão 2014
2014-09-14,18:29,0,0,Estádio Raimundo Sampaio,Atletico-MG,Gremio,21,2014,Brasileirão 2014
2014-09-14,18:29,0,1,Estádio Heriberto Hülse,Criciuma,Goias,21,2014,Brasileirão 2014
2014-09-17,19:29,1,3,Barradão,Vitoria,Fluminense,22,2014,Brasileirão 2014
2014-09-17,19:31,0,2,Mineirão,Cruzeiro,Athletico-PR,22,2014,Brasileirão 2014
2014-09-17,21:00,0,0,Arena de Pernambuco,Sport,Internacional,22,2014,Brasileirão 2014
2014-09-17,21:01,1,1,Orlando Scarpelli,Figueirense,Criciuma,22,2014,Brasileirão 2014
2014-09-17,22:00,3,2,Maracanã,Botafogo-RJ,Bahia,22,2014,Brasileirão 2014
2014-09-17,22:00,1,3,Couto Pereira,Coritiba,Sao Paulo,22,2014,Brasileirão 2014
2014-09-17,22:01,2,2,Estádio Municipal Paulo Machado de Carvalho,Palmeiras,Flamengo,22,2014,Brasileirão 2014
2014-09-18,19:27,1,1,Neo Química Arena,Corinthians,Chapecoense,22,2014,Brasileirão 2014
2014-09-18,19:30,3,2,Estádio do Governo do Estado de Goiás (Serra Dourada),Goias,Atletico-MG,22,2014,Brasileirão 2014
2014-09-18,20:29,0,0,Arena do Grêmio,Gremio,Santos,22,2014,Brasileirão 2014
2014-09-20,18:31,1,0,Estádio Joaquim Américo Guimarães,Athletico-PR,Internacional,23,2014,Brasileirão 2014
2014-09-20,21:00,1,1,Estádio Heriberto Hülse,Criciuma,Botafogo-RJ,23,2014,Brasileirão 2014
2014-09-21,15:59,3,2,Mineirão,Cruzeiro,Atletico-MG,23,2014,Brasileirão 2014
2014-09-21,15:59,1,2,Itaipava Arena Fonte Nova,Vitoria,Bahia,23,2014,Brasileirão 2014
