c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
JONATHAN,CAFÚ,7,,ATACANTE,Cuiaba
MAX,ALVES,10,,MEIO-CAMPO,Cuiaba
ISIDRO,PITTA,9,,ATACANTE,Cuiaba
WILLIAM,FURTADO,12,,ZAGUEIRO,Cruzeiro
JEMERSON,NASCIMENTO,28,,ZAGUEIRO,Gremio
THIAGO,ALMADA,23,,MEIO-CAMPO,Botafogo-RJ
GUSTAVO,GÓMEZ,15,,ZAGUEIRO,Palmeiras
ALEX,TELLES,13,,ZAGUEIRO,Botafogo-RJ
JOHN,,12,,GOLEIRO,Botafogo-RJ
MAYKE,,12,,ZAGUEIRO,Palmeiras
MARCOS,ROCHA,2,,ZAGUEIRO,Palmeiras
ERICK,PULGAR,5,,MEIO-CAMPO,Flamengo
GUILLERMO,VARELA,2,,ZAGUEIRO,Flamengo
EROS,MANCUSO,33,,ZAGUEIRO,Fortaleza
GUSTAVO,BARRETO,88,,MEIO-CAMPO,Criciuma
JAIR,JÚNIOR,8,,MEIO-CAMPO,Vasco
PABLO,MILLÁN,27,,MEIO-CAMPO,Vasco
JOSÉ,BEBANZ,2,,MEIO-CAMPO,Vasco
ANDRÉ,RAMALHO,5,,ZAGUEIRO,Corinthians
MYCAEL,,41,,GOLEIRO,Athletico-PR
FERNANDO,JÚNIOR,6,,ZAGUEIRO,Athletico-PR
JUNINHO,CAPIXABA,29,,ZAGUEIRO,Bragantino
RAFAEL,BORRÉ,19,,ATACANTE,Internacional
MARIANO,,25,,ZAGUEIRO,Atletico-MG
LYANCO,,2,,ZAGUEIRO,Atletico-MG
LUCIANO,NEVES,10,,MEIO-CAMPO,Sao Paulo
IGOR,VINÍCIUS,2,,ZAGUEIRO,Sao Paulo
RENZO,SARAVIA,26,,ZAGUEIRO,Atletico-MG
PAULO,VITOR,27,,MEIO-CAMPO,Atletico-MG
RUAN,NETTO,22,,ZAGUEIRO,Sao Paulo
BRUNO,ALVES,34,,ZAGUEIRO,Cuiaba
FILIPE,SOUZA,5,,MEIO-CAMPO,Cuiaba
JOSÉ,LÓPEZ,42,,ATACANTE,Palmeiras
JOSÉ,VIVIAN,8,,MEIO-CAMPO,Palmeiras
WILLIAN,,29,,MEIO-CAMPO,Vitoria
GREGORE,,26,,MEIO-CAMPO,Botafogo-RJ
CUIABANO,,66,,ZAGUEIRO,Botafogo-RJ
