Nome, Time
Giorgian de Arrascaeta, Flamengo
Pablo Vegetti, Vasco da Gama
Kaio Jorge, Cruzeiro
Reinaldo, Mirassol
Yuri Alberto, Corinthians
Pedro Raúl, Ceará
Pedro, Flamengo
Enmerson Batalla, Juventude
André Silva, São Paulo
Juan Martín Lucero, Fortaleza
Igor Jesus, Botafogo
Ferreira, São Paulo
Gabriel, Mirassol
Isidro Pitta, Red Bull Bragantino
Memphis Depay, Corinthians
Renato Kayzer, Vitória
Joaquín Piquerez, Palmeiras
Rony, Atlético-MG
Jhonatan, Red Bull Bragantino
Eduardo Sasha, Red Bull Bragantino
Chrystian, Sport
Erick Pulga, Bahia
Nuno Moreira, Vasco da Gama
Marllon, Ceará
Facundo Torres, Palmeiras
Edson Carioca, Mirassol
José López, Palmeiras
Vitor Roque, Palmeiras
Matheus, Vitória
Martin Braithwaite, Grêmio
Matheus Pereira, Cruzeiro
Gabriel Taliari, Juventude
Gabriel Barbosa, Cruzeiro
Kevin Serna, Fluminense
Alan Patrick, Internacional
Álvaro Barreal, Santos
Ignacio Laquintana, Red Bull Bragantino
Jefferson Savarino, Botafogo
Rafael Borré, Internacional
Daniel Borges, Mirassol
Victor Gabriel, Internacional
Jemmes, Mirassol
João Victor, Vasco da Gama
Lucas Halter, Vitória
Jhon Arias, Fluminense
Juninho Capixaba, Red Bull Bragantino
Léo Pereira, Flamengo
Martinelli, Fluminense
Luciano, Bahia
Rubens, Atlético-MG

52	Canindé	São Paulo	São Paulo SP	Privado	21 004
53	Kleber Andrade	Cariacica	Espírito Santo (estado) ES	Gov. Estadual	21 000
54	Bezerrão	Gama	Distrito Federal (Brasil) DF	Gov. Distrital	20 310
55	Arena Condá	Chapecó	Santa Catarina SC	Privado	20 289
56	Presidente Vargas	Fortaleza	Ceará CE	Gov. Municipal	20 268
57	Arena da Fonte Luminosa	Araraquara	São Paulo SP	20 205
58	Aflitos	Recife	Pernambuco PE	Privado	20 000
Arena Acreana	Rio Branco	Acre AC	Gov. Estadual
60	Alfredo Jaconi	Caxias do Sul	Rio Grande do Sul RS	Privado	19 924
61	Vail Chaves	Mogi Mirim	São Paulo SP	19 900
62	Orlando Scarpelli	Florianópolis	Santa Catarina SC	19 584
63	Lacerdão	Caruaru	Pernambuco PE	Gov. Municipal	19 478
64	Heriberto Hülse	Criciúma	Santa Catarina SC	Privado	19 225
65	Alfredão	Bauru	São Paulo SP	18 886
66	Arena do Jacaré	Sete Lagoas	Minas Gerais MG	18 870
67	Palma Travassos	Ribeirão Preto	São Paulo SP	18 277
68	Raulino de Oliveira	Volta Redonda	Rio de Janeiro RJ	Gov. Municipal	18 230
69	Barão da Serra Negra	Piracicaba	São Paulo SP	18 000
Major Levy Sobrinho	Limeira
Ítalo del Cima	Rio de Janeiro	Rio de Janeiro RJ	Privado
Luthero Lopes	Rondonópolis	Mato Grosso MT	Gov. Municipal
73	Vila Belmiro	Santos	São Paulo SP	Privado	17 923
74	Ressacada	Florianópolis	Santa Catarina SC	17 826
75	Moisés Lucarelli	Campinas	São Paulo SP	17 728
76	Arena Romeirão	Juazeiro do Norte	Ceará CE	Gov. Municipal	17 230
77	Felipão	Paranavaí	Paraná PR	17 147
78	Vila Capanema	Curitiba	Privado	17 140
79	Trapichão	Maceió	Alagoas AL	Gov. Estadual	17 126
80	Adail Nunes da Silva	Taquaritinga	São Paulo SP	Gov. Municipal	16 805
81	Anacleto Campanella	São Caetano do Sul	16 744
82	Martins Pereira	São José dos Campos	16 500
Arena Cruzeiro	Cachoeirinha	Rio Grande do Sul RS	Privado
84	Silvio Salles	Catanduva	São Paulo SP	Gov. Municipal	16 444
85	Décio Vitta	Americana	16 300
86	Jóia da Princesa	Feira de Santana	Bahia BA	16 274
87	Curuzu	Belém	Pará PA	Privado	16 200
88	Herminio Ometto	Araras	São Paulo SP	16 096
89	Parque São Jorge	São Paulo	16 000
Vicente Goulart	São Borja	Rio Grande do Sul RS
