data,hora,n_placar_visitante,n_placar_casa,c_nome_estadio,c_time_casa,c_time_visitante,n_rodada,d_ano_campeonato
2023-11-08,20:00,1,1,Ligga Arena,Athletico-PR,Fortaleza,33,2023
2023-11-08,20:01,0,1,Estádio Urbano Caldeira,Sao Paulo,Bragantino,33,2023
2023-11-08,21:30,0,3,Maracanã,Flamengo,Palmeiras,33,2023
2023-11-09,19:01,1,0,Estádio Hailé Pinheiro - Serrinha,Goias,Santos,33,2023
2023-11-09,19:01,1,1,Neo Química Arena,Corinthians,Atletico-MG,33,2023
2023-11-09,20:00,4,3,Estádio São Januário,Botafogo-RJ,Gremio,33,2023
2023-11-09,20:03,3,0,Itaipava Arena Fonte Nova,Bahia,Cuiaba,33,2023
2023-11-11,16:01,0,1,Vila Capanema,Coritiba,Cruzeiro,34,2023
2023-11-11,18:31,1,1,Maracanã,Flamengo,Fluminense,34,2023
2023-11-11,21:00,0,3,Arena Barueri,Palmeiras,Internacional,34,2023
2023-11-12,16:00,2,2,Nabizão,Bragantino,Botafogo-RJ,34,2023
2023-11-12,16:01,1,0,Arena do Grêmio,Gremio,Corinthians,34,2023
2023-11-12,18:30,0,0,Estádio Urbano Caldeira,Santos,Sao Paulo,34,2023
2023-11-12,18:30,1,2,Estádio São Januário,Vasco,America-MG,34,2023
2023-11-12,18:30,1,2,Arena MRV,Atletico-MG,Goias,34,2023
2023-11-12,18:30,1,2,Arena Pantanal,Cuiaba,Fortaleza,34,2023
2023-11-12,18:31,1,1,Itaipava Arena Fonte Nova,Bahia,Athletico-PR,34,2023
2023-11-18,18:30,1,0,Arena Castelão,Fortaleza,Cruzeiro,30,2023
2023-11-22,21:30,0,1,Maracanã,Fluminense,Sao Paulo,32,2023
2023-11-22,19:00,2,2,Mineirão,Cruzeiro,Vasco,33,2023
2023-11-23,19:00,2,2,Arena Castelão,Fortaleza,Botafogo-RJ,29,2023
2023-11-23,21:30,0,1,Maracanã,Flamengo,Bragantino,30,2023
2023-11-24,21:02,5,1,Neo Química Arena,Corinthians,Bahia,35,2023
2023-11-25,19:30,0,0,Ligga Arena,Athletico-PR,Vasco,35,2023
2023-11-25,21:00,1,2,Maracanã,Fluminense,Coritiba,35,2023
2023-11-26,16:00,0,3,Arena MRV,Atletico-MG,Gremio,35,2023
2023-11-26,16:00,1,1,Estádio Nilton Santos,Botafogo-RJ,Santos,35,2023
2023-11-26,18:29,0,1,Estádio Beira-Rio,Internacional,Bragantino,35,2023
2023-11-26,18:30,3,0,Estádio Municipal Parque do Sabiá,America-MG,Flamengo,35,2023
2023-11-26,18:32,0,0,Morumbi,Sao Paulo,Cuiaba,35,2023
2023-11-26,18:32,2,2,Arena Castelão,Fortaleza,Palmeiras,35,2023
2023-11-27,21:01,1,0,Estádio Hailé Pinheiro - Serrinha,Goias,Cruzeiro,35,2023
2023-11-28,21:30,4,2,Estádio São Januário,Vasco,Corinthians,36,2023
2023-11-29,19:03,3,0,Estádio Urbano Caldeira,Santos,Fluminense,36,2023
2023-11-29,19:30,3,0,Maracanã,Flamengo,Atletico-MG,36,2023
2023-11-29,20:00,2,0,Arena Pantanal,Cuiaba,Internacional,36,2023
2023-11-29,20:02,1,0,Itaipava Arena Fonte Nova,Bahia,Sao Paulo,36,2023
2023-11-29,21:30,1,1,Couto Pereira,Coritiba,Botafogo-RJ,36,2023
2023-11-29,21:30,0,4,Allianz Parque,Palmeiras,America-MG,36,2023
2023-11-30,18:59,1,2,Arena do Grêmio,Gremio,Goias,36,2023
2023-11-30,20:00,1,1,Mineirão,Cruzeiro,Athletico-PR,36,2023
2023-11-30,20:29,2,1,Nabizão,Bragantino,Fortaleza,36,2023
2023-12-02,18:00,2,1,Neo Química Arena,Corinthians,Internacional,37,2023
2023-12-02,21:07,1,2,Mineirão,Atletico-MG,Sao Paulo,37,2023
2023-12-03,16:01,1,2,Maracanã,Flamengo,Cuiaba,37,2023
2023-12-03,16:02,0,1,Allianz Parque,Palmeiras,Fluminense,37,2023
2023-12-03,18:30,0,0,Estádio Nilton Santos,Botafogo-RJ,Cruzeiro,37,2023
2023-12-03,18:30,2,3,Estádio Raimundo Sampaio,America-MG,Bahia,37,2023
2023-12-03,18:30,0,1,Arena Castelão,Fortaleza,Goias,37,2023
2023-12-03,18:30,0,1,Nabizão,Bragantino,Coritiba,37,2023
2023-12-03,18:30,0,3,Ligga Arena,Athletico-PR,Santos,37,2023
2023-12-03,18:32,0,1,Arena do Grêmio,Gremio,Vasco,37,2023
2023-12-06,19:00,0,1,Estádio Hailé Pinheiro - Serrinha,Goias,America-MG,38,2023
2023-12-06,21:32,1,3,Estádio Beira-Rio,Internacional,Botafogo-RJ,38,2023
2023-12-06,21:32,2,0,Couto Pereira,Coritiba,Corinthians,38,2023
2023-12-06,21:32,3,2,Maracanã,Fluminense,Gremio,38,2023
2023-12-06,21:32,1,1,Mineirão,Cruzeiro,Palmeiras,38,2023
2023-12-06,21:32,1,4,Itaipava Arena Fonte Nova,Bahia,Atletico-MG,38,2023
2023-12-06,21:32,0,3,Arena Pantanal,Cuiaba,Athletico-PR,38,2023
2023-12-06,21:32,2,1,Estádio Urbano Caldeira,Santos,Fortaleza,38,2023
2023-12-06,21:32,0,1,Morumbi,Sao Paulo,Flamengo,38,2023
2023-12-06,21:32,1,2,Estádio São Januário,Vasco,Bragantino,38,2023
